owner,total
6ysQktkXRmRqVGCkx2xXJhD4f7yux8J4AD8CGU6EiW3K,1
HFjvu4vWt1PvEahYDTZjrTjmWzuBHt6RgymJgFv46rFw,1
DEAf6NEi9Xn8KaUKVc8RKnW5KdWEQmapwT16BgdaKVhn,1
BZsgNComLcsjgFUTEvSZDqfc7unVzW8xQBYmL2TSgxh,1
244w5pyr6nZNtBPmnRAseDs2Zvtgi3JKXEq2za2jPghf,1
DygoD8FQQwnnoiJMMbgNzx7dSEz4hf6Zgs537tmEwMtV,1
7MVM8QxgKdUtaVCe8xHDrFRYFHqo5sngsWjDEVFJeQ8P,1
AhVALozuRuWkTJNUJzZ9gk5VBddXxogsvMzN5fFcU1GF,1
GcyQNqEbYBVBSei49EDvMiUWfsCa6P7J3nqMoaGwsDok,1
AnaTM23SpczEq7VY752mYqk6acYpDqkR9Di88yjkEJGn,1
9UJoHhGprvHhJTFy49JRezfvsbJq91482rDY5VTEdsGL,1
9VumZuasHPUeftbGbCxkk3F9LHgLoLjovNrBmMjCJFVj,1
5GzELwwPnmqBrooyoJYToeqGDZD4389ogc7tUPDYDTvg,1
2UMHAvBNmHTU9VC18C5B4hYvEvUnky1xtVUq3VVAvQ27,1
HZC2M33QLxYYWEDd2nw9pv4s6B32dxxFR6epB5rFKBT9,1
H3FL4ippY2XYxnh7UP9ePpmnMW13WKvbBxgf4fxQqvRE,1
HPii9BnFodJz9xDFfoTNBE74TgAjjj6396niQRj41k2v,1
5vZYT7oHxsNa8L8jXaL4GyyqJCSv2eXJ1XzPrMohKtKZ,1
EUvsAwS1iJa8HqVEqneDW9zXCo2AAwqjKtqHpjihLBK7,1
9NWwEsnTeMfLsJhjFZfmj5PHxUBxaNBMAJkzxkxUphaC,1
BpGZ8y99UbWc221z5WLeCkJ4hCtoH4k87TQG23MX6m2X,1
81jomSidtPPr16Zz5FQaAYQMGB81YLSw8B7scEx1RkeV,1
C3oQqiLPdSWs4FpvZiRWbFgVf9sp7FhF7FANR8XJXpS9,1
53QS7WzEdZbQEcZfxHwqqbCh1AneizisNy6aF9vFBnhQ,1
4GzEhecUmU8X63xWX5eG54pDUTyCgK7vDSbRhMUz6b7z,1
6oKayuwDDMmnqrgVwwj8AsdAdXyTZm3YMLsFxADfMc7A,1
3ChLnvj2kTN5WAQ2xbs2G1KAUV1WN4Gc4WUcPjUpftyg,1
CXswSy62PDZc58qsNM952cdwe6x2uawJmdWPSR266xbt,1
As17R9HyfdoovGpDQyTctwewGFcREkY7B9x2myZ75kms,1
uazjaE55QFdmhvRyYR4tYWZCronxzn7Wp4qRhcrteAW,1
HQn1hct2qj8bPBJiBMbrcviGmJktN4R8ToUcAeULpFQ4,1
76P5KXLeTRjaEPCEg5Tu9KyvoVUE4sS9tJ3A5rivLeQm,1
AwipzTnD7TVhPk2sczHe526J2JLy5wYbKLRaUPb9JR8i,1
AQBFB6y4Du7pV9F9KJD8SnoXb2dCRvaD11sdxdRrjjmg,1
7ewFVXDYWMnf3X67FcoihVz89rYV2dgPsLSfqLi7JUY6,1
5f9XRDFrEW3sUgUpwosoNTB4LrFXQjXYnks5urzecbAU,1
8GwN8a81LGM5jJZR1RcbjAfyZJ15icaiUu7kMYbNE1G8,1
AEuodAar8CEH4Hmhvzf5F4qJPmEbvmWZqthMzEXoKE7Q,1
EvSFHKJAEkMqkUULG8NpYHKLM1VR34xzUAMx7SPSS3Mf,1
2EKayEspNwbBhTLK7Dsinse5CCx33uUnzxVfND3LxNnz,1
E6hzHG7LLUCMTVz1M13BpdNdHw6cobLueLazxYWCHED3,1
9MMxmGKP1b3mB35EHaz88yWz3mp9ZjnsLMk6M1i9BXwm,1
6imvZPqB55uN5wF7fY29oPWGyZSrgTzGL13gH5rBRRwH,1
2eAqK9xRZLwxCCpbKEcQpXF5U4fmDXN2hfmDeKK2wKfT,1
BLiqveXKgCGX73vYkMKzAtQEhPxscWsoAWBg2PgK6QtY,1
Ad5BRCz6TutxKSMu64Z4VdPPRwW8BveECLX3kM3gKZcc,1
8kWtYC78uxsuQSDJkdJ6qQd4S21dFAB7fRER1d2yjuUP,1
2YV2SNvCtZwDzbJ6gvuxNBaDSJ7xaHCrCDSvBdiRE9Tu,1
Pf2gasRuYweE2aL8aTisttAuyhoHB1UeRUUmU2yJb5E,1
HsGhebGbEY6dZcFWeqQovD2fMk37zbDv7m7AAkbCjptL,1
Bu2mahL9yRUpbNS6LjnJhi1uxkYUpdfVKFhkgH9ssFiX,1
6YnrsbGBJFgtmxqboAbpqyZJy78c7nLCGTesRXwhm42a,1
GksCCshp7Jqg2DLhpp3C2DdPvgeVCAoKSTFDVA8jNNqC,1
BnAFU2iv66VUqjyHpxD8X3zHhL1F9NBifYdz2PRku34N,1
EdhHWC72QrZLHT6h9e8LXXJ9GsthWP86HCxWwA159Goz,1
HCkLz1Eprm94Ce3zDYqkkChxqpLEHKS1rypkDR6PomCH,1
8Xp7c9caSU4WTXWLCmaJ1NeVDmBU9T2tAogakKFJxDG9,1
8qeBAeWwodhu9EwvHohRLTSUiUgEVXEAcvEH2RNx6kt1,1
FsHLCcoTKXJKnnCP2ZAL3qS5fBWGWZGna7XTjBJZeutr,1
9ztGQ92AzfF7eYdJdDhPg8cYQY3rn6M1gwkD32RCQWH3,1
yix6eGegLBBRetHCno4v1z9oRj4KXGZ5Si2UQLwxbCi,1
DeDaoX2A3oUFMddqkvMAU2bBujo3juVDnmowg4Tyuw2r,1
7G26TKWwWgLQSgCpqyYLUVX4NAKqRJdc93fJFKqg7NnT,1
BU67BUtxXidupHfnKnJB8wFe1g3qVS6cbw1xMxQ1onrr,1
Hcw7uZtm9ANWFUS4Hrk1DRpLe16ue5vAQG72w17suXHW,1
DAKJkdYWecenPsLUSbphsfAqvaYkyJEwsBgorUAdPLpE,1
BdkTuP4TR2Yi2YqbKhu2qsRaJvECHe8bu1JBBBLGruoS,1
FQaMkmFwNbrh3GUq7Ew17WpzLChNViBLLVF3icsKQamP,1
5QZqZgoqVt3ArUNvKifDzjCEQUvhNXPvhH7p3FVL1j4R,1
6Stbs35apHEDsLZ5xyuD2CbWzJvV9AfQoxmGE2ZFp6AJ,1
8HRSU45gQPGXGUfnLBjVqFv1nJzXqJcGJdiGsX18fWnW,1
6tu9q5HyMem9RZVQ9Gi8vKpvSzB7mj76Zt26XRqgP87z,1
2LCkYZdpY2V8FcsbUR4Jeu5MCHafT393jT5k14ufw15L,1
Dwj2i7Crp3H55Nk9ZHxqH1ngmGWKCC9tFDS53HcSuRvp,1
D4xerr4PJjMx9hnc1oNdYgGk8yJAXu8ZWoqTwehfRxHW,1
5BrF4uA7BnJPYzdAGBmziTHjRrbgHRMb8uoChsrP5tR9,1
5S1QjzFhMPBF8hE9FQYTQPew9csib1JLqvMbFRWdJPTA,1
F5eAgiaKLcJ8re5ZUDsEyyFRDQj4V1xNDhic7Tp4Td9k,1
BaaeQYwqew4bukcc8Bj2FoPLmJ7TtkGALbB7tpQp4gHw,1
7TuAoc2c4ZD38S4qGRVGbMuXj5T82NkhVLYCpSai3FB6,1
6vbitTc6pAHbLJqgVpx6PXcTDuGgTS5rWMcsAbMxFHyP,1
BZKACiqEmaUTkhNaq6TcEDEQw1hn5Us4xBdnCnum28mT,1
DBZUBodPijT5hN2rYr5ES82tgKFLBbks3pCHYDD1ACq,1
EiSr29K1rWEmM1xiGMmwgwvx3fM3YVPNyaCDc23yxSuY,1
FzGb98VyZCnwWMeEemwAy6of7r6jHM5cP2saPd2UNbNh,1
8b9JrtrVDYdFeSm6wknvsEM4PSACwDXyEkHLezYFcW5b,1
7iaw4iDE8FpcJcDCGD9fgMyoCvxnF2ZywDzqqx7WBhGb,1
6CESspVQNCUM3jnvonJFaG9jbahwwqRSD78Jx8kmSq4b,1
W5pidHkJjLoJSLkt2g3cA5YwNm17Qaizpsr6ujaxJS2,1
5SZdXKwMoP5Mgqwc4kCzfdcDsCEQQvkKNFwndcA4bQjW,1
6jfziadEYjq24amkDbQg1vcwZaJ1TVep3PhMoDNLk4Xy,1
Gu11ve7MGPm6MmNg4h2cXxDjiuas3J92SAb213zk1gcD,1
F2xCJK7eLUJ173xRcBpwhNHCwGdkc8mv5CpyZ993FDJR,1
6xzXHQqk8siN6af51PgmudN4RrzHBssbEfT7byntxEgW,1
GZ66YVe9BJwV9vfNZueGGhT1nnCoom1WGHhqACSLCJBL,1
7hfY34Jvxfs7Jr88WLQbLpjpj4KHt2YsjZYeuRLcLja8,1
6ibesH9zP9mBMzvjsFYkYsuiKcK8AbB9LKmGYCbgmEuj,1
BJPKcC5mYUMHjk9Nwdfm36Ko3KWUcpofEj7Vfk5AZQ7o,1
86Ny5cVAeADrvUoL2h7Hrc2BxUfjeWibPQCEL18aUoZP,1
HLUtYEUU1t73hEFLbcQqYzs5jX7cb8oJjQddWeWCWcwG,1
C7N2EMFhzeHRtW9Rnvs5Hb2g7Bw6gJnTRtsR2PDACELy,1
81CcQdw4mcfW7gnRxSTNG6wAyYWUGYrkxiM26mK7ELf4,1
BFBASpxkSDsgtY7m1AwLLXRfJeqiovjMtRCws2SD2kyY,1
5fxm8v65YF7ZPBSMtPgsASfrudtEM4ke2F2ynySQfJC2,1
9bJhCijwgvUaET4uA4cevWVNUxJ5htCeTinMDQcs7Hhv,1
AnrL8RwaYBEeZGnSe2dihHUJShuXzfnEXi8UzxAiGyYB,1
5fUyGrJ2ZNGNgzJhh2LoD56oGfEdRsRVHeM9ZH9juFQ3,1
FweYVpbjvccrJYx6NxDvimxrLtju3XiopW2BbZGxP1KN,1
AMT7ajkYQDWj1vmoBPqx4guAxdupWYw5dcRV6yy7CPvQ,1
ERE2vt1DkjkU1TfuP4aLTgbuSxuLFZH5uD6rZvHPevdK,1
FRUn9v1VqU6HNk8VXoJMJ5urfxNfMgEB9W1HXn69h74f,1
